Age,Gender,Year,Department,CGPA,Study_Hours,Revise_Notes,Exam_Preparation,Study_Schedule,Assignments_On_Time,Attendance,Class_Participation,Ask_Questions,Sleep,Exercise,Stress_Level,Stress_Affects_Studies,Social_Media_Usage,Most_Used_Platform,Distracted_By_Social_Media,Educational_Resources_Usage,Main_Educational_Resource,Reason_For_Degree,Motivation,Dedicated_Study_Environment,Time_Management,Biggest_Factor,Suggested_Improvement
19,Other,2nd Year,Data Science,9.55,More than 4 hours,Sometimes,3–7 days,No,Usually,Above 85%,Always,Sometimes,More than 8 hours,Never,Low,Never,Less than 1 hour,LinkedIn,Always,Never,Other,Peer Influence,Very Low,No,Very Poor,Social media,More sleep
19,Male,4th Year,Computer Science,5.62,2–4 hours,Never,3–7 days,No,Always,50–70%,Never,Sometimes,More than 8 hours,2–3 times a week,Very High,Rarely,More than 6 hours,Instagram,Often,Never,Coursera,Other,Very High,Yes,Average,Stress,More sleep
20,Other,3rd Year,Statistics,6.07,Less than 1 hour,Sometimes,Same day,No,Never,Above 85%,Sometimes,Always,6–7 hours,Once a week,Very High,Never,More than 6 hours,X/Twitter,Often,Often,Coursera,Peer Influence,Moderate,Yes,Poor,Time management,More revision
18,Other,3rd Year,Mathematics,4.83,1–2 hours,Often,Same day,No,Sometimes,50–70%,Always,Often,Less than 5 hours,4–5 times a week,High,Never,2–4 hours,Other,Always,Very Frequently,YouTube,Other,Very Low,No,Average,Attendance,Less distraction
19,Other,2nd Year,Mathematics,6.3,More than 4 hours,Never,Same day,No,Always,Below 50%,Never,Always,6–7 hours,Once a week,Low,Never,1–2 hours,X/Twitter,Often,Often,Coursera,Family Influence,Moderate,No,Good,Attendance,More revision
18,Other,4th Year,Mathematics,4.32,Less than 1 hour,Often,3–7 days,Yes,Never,Below 50%,Sometimes,Always,7–8 hours,Once a week,High,Never,2–4 hours,LinkedIn,Never,Very Frequently,Coursera,Other,Moderate,No,Very Poor,Motivation,Less distraction
18,Female,1st Year,Statistics,6.33,More than 4 hours,Often,1–2 days,No,Usually,70–85%,Sometimes,Always,Less than 5 hours,Never,Very Low,Never,4–6 hours,X/Twitter,Rarely,Sometimes,Other AI Tools,Peer Influence,Very High,Yes,Very Poor,Social media,More revision
20,Male,2nd Year,Computer Science,8.42,More than 4 hours,Often,Same day,Yes,Always,70–85%,Always,Sometimes,More than 8 hours,Never,Low,Sometimes,1–2 hours,Facebook,Often,Often,Other,Family Influence,Very Low,No,Excellent,Attendance,Less distraction
22,Male,2nd Year,Mathematics,5.84,2–4 hours,Always,More than a week,No,Never,Above 85%,Sometimes,Always,5–6 hours,Daily,Low,Never,More than 6 hours,X/Twitter,Never,Rarely,Coursera,Career Opportunities,Low,Yes,Good,Social media,More sleep
22,Male,1st Year,Computer Science,4.52,Less than 1 hour,Never,3–7 days,No,Sometimes,50–70%,Often,Often,6–7 hours,4–5 times a week,High,Never,More than 6 hours,Instagram,Never,Often,Other AI Tools,Other,Moderate,Yes,Excellent,Attendance,Less distraction
22,Male,3rd Year,Mathematics,4.92,Less than 1 hour,Sometimes,1–2 days,Yes,Always,Below 50%,Never,Sometimes,More than 8 hours,Daily,High,Often,1–2 hours,LinkedIn,Rarely,Often,Other,Peer Influence,Moderate,No,Poor,Time management,More sleep
19,Male,1st Year,Data Science,4,Less than 1 hour,Sometimes,More than a week,No,Sometimes,Below 50%,Often,Never,6–7 hours,Daily,Moderate,Sometimes,More than 6 hours,Other,Never,Rarely,Other AI Tools,Career Opportunities,Very Low,No,Excellent,Motivation,Regular attendance
18,Male,2nd Year,Computer Science,8.38,More than 4 hours,Rarely,More than a week,Yes,Sometimes,Above 85%,Never,Often,7–8 hours,Never,High,Always,Less than 1 hour,Other,Always,Very Frequently,Udemy,Other,Very High,Yes,Poor,Motivation,Regular attendance
19,Other,2nd Year,Computer Science,7.34,More than 4 hours,Never,1–2 days,Yes,Sometimes,70–85%,Never,Never,More than 8 hours,Never,Very Low,Never,4–6 hours,Facebook,Rarely,Rarely,Coursera,Family Influence,Low,Yes,Poor,Social media,More revision
22,Other,4th Year,Data Science,8.24,More than 4 hours,Often,Same day,Yes,Rarely,Above 85%,Always,Rarely,More than 8 hours,2–3 times a week,Very High,Always,2–4 hours,X/Twitter,Never,Very Frequently,Other AI Tools,Other,Very Low,No,Very Poor,Motivation,Regular attendance
18,Other,1st Year,Mathematics,4.62,2–4 hours,Sometimes,More than a week,No,Never,Below 50%,Never,Often,5–6 hours,4–5 times a week,Low,Rarely,More than 6 hours,LinkedIn,Rarely,Often,Udemy,Peer Influence,Very Low,No,Very Poor,Time management,More revision
19,Male,3rd Year,Statistics,6.11,More than 4 hours,Never,3–7 days,No,Rarely,50–70%,Rarely,Sometimes,5–6 hours,Daily,High,Often,4–6 hours,Other,Rarely,Very Frequently,Udemy,Personal Interest,Moderate,No,Average,Time management,More sleep
22,Other,1st Year,Statistics,6.9,1–2 hours,Rarely,More than a week,Yes,Never,50–70%,Often,Rarely,More than 8 hours,Once a week,Low,Never,2–4 hours,Other,Rarely,Never,Other,Peer Influence,Low,No,Poor,Motivation,Better planning
20,Female,2nd Year,Computer Science,4.88,Less than 1 hour,Often,1–2 days,Yes,Usually,Below 50%,Often,Sometimes,More than 8 hours,Never,Low,Always,Less than 1 hour,Other,Never,Rarely,Udemy,Peer Influence,Moderate,Yes,Good,Sleep,Less distraction
21,Female,3rd Year,Mathematics,5.19,1–2 hours,Never,1–2 days,Yes,Never,70–85%,Often,Sometimes,6–7 hours,2–3 times a week,Low,Often,More than 6 hours,Instagram,Always,Rarely,Coursera,Career Opportunities,High,No,Poor,Attendance,Less distraction
18,Other,1st Year,Mathematics,5.49,2–4 hours,Always,Same day,No,Sometimes,Below 50%,Always,Often,Less than 5 hours,2–3 times a week,Low,Rarely,1–2 hours,Other,Often,Often,Other,Personal Interest,Very High,No,Good,Motivation,Less distraction
18,Female,2nd Year,Mathematics,6.31,2–4 hours,Sometimes,Same day,Yes,Sometimes,Below 50%,Always,Rarely,More than 8 hours,Once a week,Very Low,Never,1–2 hours,LinkedIn,Always,Sometimes,Udemy,Family Influence,High,No,Good,Time management,Better planning
21,Other,3rd Year,Mathematics,7.58,1–2 hours,Sometimes,Same day,No,Always,Above 85%,Sometimes,Often,6–7 hours,Once a week,High,Never,4–6 hours,Instagram,Sometimes,Often,Other AI Tools,Peer Influence,Very High,No,Average,Stress,Better planning
18,Male,1st Year,Mathematics,7.12,2–4 hours,Often,1–2 days,No,Never,Above 85%,Never,Sometimes,5–6 hours,Once a week,Very Low,Always,More than 6 hours,X/Twitter,Never,Sometimes,Udemy,Peer Influence,Moderate,No,Excellent,Sleep,Better planning
20,Other,3rd Year,Data Science,6.28,More than 4 hours,Often,3–7 days,No,Sometimes,50–70%,Rarely,Never,More than 8 hours,Never,Low,Rarely,More than 6 hours,YouTube,Rarely,Very Frequently,Other AI Tools,Family Influence,Low,Yes,Average,Time management,More sleep
21,Male,1st Year,Data Science,8.63,2–4 hours,Rarely,3–7 days,No,Always,Above 85%,Never,Always,5–6 hours,Once a week,High,Never,1–2 hours,Instagram,Sometimes,Very Frequently,Coursera,Career Opportunities,High,No,Good,Attendance,More revision
19,Female,1st Year,Economics,7.01,2–4 hours,Often,Same day,Yes,Usually,Above 85%,Never,Always,Less than 5 hours,Daily,Very Low,Rarely,1–2 hours,Other,Never,Often,ChatGPT,Other,Low,No,Excellent,Motivation,Less distraction
20,Female,2nd Year,Mathematics,5.68,Less than 1 hour,Rarely,1–2 days,Yes,Never,50–70%,Often,Never,7–8 hours,Never,Low,Sometimes,Less than 1 hour,Facebook,Rarely,Often,YouTube,Family Influence,Very High,Yes,Good,Sleep,Regular attendance
21,Male,1st Year,Computer Science,5.54,More than 4 hours,Often,3–7 days,Yes,Rarely,Below 50%,Rarely,Always,7–8 hours,2–3 times a week,Moderate,Often,4–6 hours,Facebook,Rarely,Very Frequently,Coursera,Career Opportunities,Moderate,No,Excellent,Social media,More sleep
19,Male,2nd Year,Data Science,6.11,More than 4 hours,Sometimes,More than a week,Yes,Never,50–70%,Rarely,Rarely,7–8 hours,Never,High,Rarely,More than 6 hours,Other,Never,Rarely,Other AI Tools,Family Influence,Low,No,Excellent,Sleep,Less distraction
21,Female,2nd Year,Data Science,6.01,More than 4 hours,Often,More than a week,Yes,Never,Above 85%,Sometimes,Sometimes,Less than 5 hours,Once a week,Low,Rarely,More than 6 hours,X/Twitter,Sometimes,Never,Coursera,Personal Interest,Low,Yes,Average,Motivation,More sleep
20,Other,4th Year,Statistics,7.72,More than 4 hours,Rarely,1–2 days,No,Usually,50–70%,Often,Rarely,6–7 hours,2–3 times a week,Very Low,Often,Less than 1 hour,X/Twitter,Never,Sometimes,Other,Family Influence,Very Low,Yes,Very Poor,Stress,More sleep
20,Male,4th Year,Statistics,5.39,1–2 hours,Sometimes,More than a week,No,Sometimes,Below 50%,Rarely,Always,More than 8 hours,Daily,Very Low,Always,1–2 hours,Instagram,Sometimes,Rarely,ChatGPT,Career Opportunities,Low,No,Excellent,Social media,Less distraction
18,Male,3rd Year,Mathematics,5.36,Less than 1 hour,Often,More than a week,No,Always,70–85%,Always,Rarely,More than 8 hours,Daily,Moderate,Always,2–4 hours,Other,Often,Sometimes,Other,Other,High,No,Excellent,Stress,Better planning
22,Other,1st Year,Mathematics,7.59,1–2 hours,Always,3–7 days,No,Sometimes,Above 85%,Sometimes,Rarely,7–8 hours,Never,Very Low,Often,Less than 1 hour,Instagram,Always,Never,Other AI Tools,Peer Influence,Very High,Yes,Poor,Stress,More sleep
20,Female,2nd Year,Economics,5.66,2–4 hours,Rarely,3–7 days,No,Never,50–70%,Often,Always,Less than 5 hours,Never,High,Sometimes,4–6 hours,X/Twitter,Sometimes,Sometimes,YouTube,Other,Very Low,No,Good,Sleep,More revision
19,Other,4th Year,Statistics,7.42,2–4 hours,Sometimes,1–2 days,No,Usually,50–70%,Never,Rarely,7–8 hours,4–5 times a week,Very Low,Rarely,2–4 hours,YouTube,Sometimes,Rarely,Coursera,Personal Interest,Low,No,Poor,Time management,More sleep
18,Female,4th Year,Data Science,8.1,2–4 hours,Never,3–7 days,Yes,Rarely,Above 85%,Never,Often,6–7 hours,4–5 times a week,Very High,Always,More than 6 hours,YouTube,Never,Very Frequently,YouTube,Other,Very Low,No,Poor,Motivation,Less distraction
18,Male,4th Year,Data Science,7.86,2–4 hours,Rarely,Same day,No,Sometimes,70–85%,Rarely,Sometimes,6–7 hours,2–3 times a week,Very Low,Rarely,More than 6 hours,Instagram,Never,Very Frequently,Udemy,Personal Interest,Low,Yes,Excellent,Sleep,Less distraction
20,Male,4th Year,Computer Science,7.61,More than 4 hours,Often,More than a week,Yes,Usually,Above 85%,Always,Rarely,6–7 hours,4–5 times a week,High,Rarely,More than 6 hours,X/Twitter,Sometimes,Very Frequently,Other AI Tools,Peer Influence,Low,No,Poor,Stress,Regular attendance
21,Female,2nd Year,Mathematics,5.61,More than 4 hours,Sometimes,Same day,Yes,Usually,50–70%,Always,Often,5–6 hours,4–5 times a week,Low,Often,4–6 hours,YouTube,Often,Often,Other AI Tools,Other,Very Low,No,Average,Motivation,More revision
21,Female,1st Year,Data Science,6.43,More than 4 hours,Sometimes,3–7 days,Yes,Rarely,Above 85%,Often,Often,More than 8 hours,Daily,Moderate,Sometimes,More than 6 hours,X/Twitter,Sometimes,Often,Coursera,Peer Influence,Very High,Yes,Good,Social media,Regular attendance
19,Other,1st Year,Data Science,5.03,2–4 hours,Always,Same day,Yes,Rarely,Below 50%,Often,Often,6–7 hours,Never,Moderate,Never,More than 6 hours,X/Twitter,Sometimes,Often,YouTube,Peer Influence,Moderate,Yes,Average,Sleep,More sleep
21,Female,1st Year,Statistics,4.89,Less than 1 hour,Often,1–2 days,No,Usually,70–85%,Often,Never,7–8 hours,Once a week,Very High,Often,More than 6 hours,Instagram,Sometimes,Often,ChatGPT,Career Opportunities,High,No,Average,Attendance,Regular attendance
18,Other,1st Year,Statistics,6.79,More than 4 hours,Often,More than a week,No,Always,50–70%,Often,Sometimes,6–7 hours,2–3 times a week,Very Low,Often,2–4 hours,YouTube,Often,Rarely,Other AI Tools,Family Influence,Very Low,Yes,Average,Sleep,More sleep
19,Other,4th Year,Economics,4.89,Less than 1 hour,Rarely,More than a week,No,Always,Below 50%,Rarely,Sometimes,7–8 hours,Daily,Very Low,Never,Less than 1 hour,Other,Sometimes,Very Frequently,Udemy,Family Influence,Very High,No,Poor,Social media,More revision
21,Male,3rd Year,Economics,7.03,1–2 hours,Sometimes,1–2 days,No,Usually,Above 85%,Sometimes,Always,Less than 5 hours,2–3 times a week,Moderate,Always,Less than 1 hour,Facebook,Always,Very Frequently,Udemy,Peer Influence,Moderate,No,Very Poor,Stress,More revision
18,Male,1st Year,Economics,7.63,1–2 hours,Sometimes,More than a week,Yes,Rarely,70–85%,Always,Often,6–7 hours,Daily,High,Always,Less than 1 hour,X/Twitter,Sometimes,Never,ChatGPT,Other,Very High,Yes,Average,Social media,Less distraction
18,Male,4th Year,Statistics,5.78,1–2 hours,Rarely,More than a week,Yes,Usually,Above 85%,Never,Sometimes,Less than 5 hours,Once a week,Moderate,Sometimes,More than 6 hours,Facebook,Never,Very Frequently,Udemy,Career Opportunities,High,Yes,Excellent,Social media,Regular attendance
21,Female,4th Year,Statistics,7.32,More than 4 hours,Never,3–7 days,No,Usually,Above 85%,Always,Sometimes,6–7 hours,4–5 times a week,Very High,Often,More than 6 hours,Other,Always,Never,Coursera,Career Opportunities,Very Low,No,Average,Motivation,More revision
19,Male,4th Year,Mathematics,4,Less than 1 hour,Always,1–2 days,No,Sometimes,Below 50%,Sometimes,Rarely,Less than 5 hours,4–5 times a week,Moderate,Sometimes,Less than 1 hour,Facebook,Sometimes,Often,ChatGPT,Career Opportunities,Moderate,No,Very Poor,Social media,Better planning
22,Other,3rd Year,Data Science,7.26,More than 4 hours,Rarely,More than a week,Yes,Rarely,70–85%,Always,Often,6–7 hours,4–5 times a week,Very Low,Always,Less than 1 hour,Instagram,Sometimes,Sometimes,ChatGPT,Other,High,Yes,Very Poor,Time management,More revision
20,Male,1st Year,Economics,5.46,2–4 hours,Rarely,Same day,Yes,Sometimes,Below 50%,Rarely,Always,5–6 hours,Never,High,Always,1–2 hours,Instagram,Never,Very Frequently,ChatGPT,Career Opportunities,Very Low,No,Poor,Time management,More revision
19,Other,1st Year,Economics,4.27,Less than 1 hour,Sometimes,More than a week,No,Usually,70–85%,Sometimes,Always,Less than 5 hours,2–3 times a week,Moderate,Rarely,More than 6 hours,LinkedIn,Never,Sometimes,ChatGPT,Family Influence,Very Low,Yes,Excellent,Motivation,Less distraction
18,Other,4th Year,Statistics,4.48,Less than 1 hour,Rarely,3–7 days,No,Sometimes,50–70%,Never,Never,Less than 5 hours,Never,Very Low,Always,More than 6 hours,Other,Often,Never,Other AI Tools,Personal Interest,Very High,Yes,Excellent,Sleep,Regular attendance
20,Other,3rd Year,Economics,8.27,More than 4 hours,Never,3–7 days,No,Always,Above 85%,Never,Often,7–8 hours,Never,Moderate,Sometimes,4–6 hours,YouTube,Sometimes,Sometimes,ChatGPT,Family Influence,Very Low,No,Poor,Sleep,More sleep
19,Female,2nd Year,Computer Science,6.99,1–2 hours,Never,3–7 days,Yes,Never,50–70%,Often,Rarely,7–8 hours,2–3 times a week,Low,Often,1–2 hours,Facebook,Always,Very Frequently,Coursera,Personal Interest,High,No,Good,Social media,Less distraction
18,Female,3rd Year,Data Science,7.45,More than 4 hours,Sometimes,1–2 days,Yes,Always,70–85%,Sometimes,Always,5–6 hours,Never,Very High,Never,Less than 1 hour,LinkedIn,Never,Very Frequently,YouTube,Family Influence,Very Low,Yes,Poor,Time management,Less distraction
18,Female,3rd Year,Economics,5.61,Less than 1 hour,Never,Same day,Yes,Always,70–85%,Often,Rarely,6–7 hours,2–3 times a week,Low,Often,1–2 hours,LinkedIn,Rarely,Never,Other AI Tools,Family Influence,Very High,No,Average,Stress,More revision
18,Male,2nd Year,Computer Science,5.02,1–2 hours,Always,1–2 days,No,Sometimes,70–85%,Rarely,Often,Less than 5 hours,Daily,Very High,Never,4–6 hours,X/Twitter,Often,Never,Other AI Tools,Other,Moderate,Yes,Average,Social media,More sleep
18,Female,4th Year,Economics,4,Less than 1 hour,Often,More than a week,No,Usually,Below 50%,Always,Sometimes,5–6 hours,2–3 times a week,Moderate,Always,1–2 hours,Facebook,Never,Often,Udemy,Other,High,Yes,Good,Sleep,Better planning
19,Female,3rd Year,Mathematics,6.66,1–2 hours,Sometimes,1–2 days,No,Rarely,50–70%,Often,Never,More than 8 hours,Once a week,Very Low,Never,4–6 hours,Other,Rarely,Sometimes,Other AI Tools,Career Opportunities,Moderate,No,Excellent,Social media,More sleep
19,Other,4th Year,Economics,5.89,More than 4 hours,Often,More than a week,No,Sometimes,50–70%,Sometimes,Always,7–8 hours,4–5 times a week,Moderate,Never,More than 6 hours,Instagram,Sometimes,Very Frequently,Other,Other,Very High,No,Poor,Social media,Regular attendance
19,Other,4th Year,Statistics,6.62,1–2 hours,Rarely,More than a week,Yes,Rarely,70–85%,Always,Often,6–7 hours,Daily,Low,Rarely,4–6 hours,YouTube,Often,Rarely,ChatGPT,Career Opportunities,High,Yes,Average,Sleep,Regular attendance
18,Male,2nd Year,Mathematics,6.35,Less than 1 hour,Always,Same day,Yes,Sometimes,Above 85%,Sometimes,Always,More than 8 hours,4–5 times a week,Very High,Always,2–4 hours,X/Twitter,Never,Often,ChatGPT,Career Opportunities,Very Low,Yes,Average,Motivation,More sleep
19,Male,4th Year,Data Science,6.57,Less than 1 hour,Always,More than a week,No,Usually,70–85%,Never,Often,More than 8 hours,4–5 times a week,Very High,Rarely,2–4 hours,YouTube,Often,Rarely,YouTube,Personal Interest,Very High,No,Good,Attendance,Less distraction
20,Other,1st Year,Mathematics,5.19,2–4 hours,Often,1–2 days,Yes,Rarely,Below 50%,Sometimes,Sometimes,More than 8 hours,4–5 times a week,High,Always,More than 6 hours,LinkedIn,Often,Very Frequently,Other,Family Influence,Very Low,Yes,Average,Sleep,More sleep
20,Female,3rd Year,Statistics,5.62,More than 4 hours,Often,3–7 days,Yes,Usually,Below 50%,Never,Often,Less than 5 hours,Never,Very High,Often,1–2 hours,YouTube,Often,Never,Udemy,Career Opportunities,Very Low,Yes,Average,Motivation,More sleep
19,Other,1st Year,Data Science,7.88,2–4 hours,Rarely,3–7 days,No,Usually,70–85%,Never,Sometimes,More than 8 hours,Once a week,High,Never,Less than 1 hour,Other,Often,Very Frequently,Udemy,Family Influence,Very High,Yes,Average,Stress,More sleep
21,Male,4th Year,Data Science,4.97,More than 4 hours,Often,3–7 days,Yes,Rarely,Below 50%,Always,Rarely,More than 8 hours,Never,High,Never,More than 6 hours,Facebook,Often,Sometimes,YouTube,Other,Very Low,Yes,Good,Motivation,Less distraction
21,Male,3rd Year,Mathematics,6.72,2–4 hours,Often,Same day,Yes,Rarely,70–85%,Often,Often,5–6 hours,4–5 times a week,Very Low,Often,4–6 hours,YouTube,Always,Rarely,ChatGPT,Personal Interest,High,Yes,Good,Sleep,Regular attendance
22,Other,2nd Year,Economics,4.27,1–2 hours,Always,3–7 days,Yes,Usually,Below 50%,Sometimes,Always,Less than 5 hours,4–5 times a week,Moderate,Rarely,2–4 hours,Other,Sometimes,Rarely,ChatGPT,Peer Influence,Moderate,No,Excellent,Time management,Better planning
19,Male,4th Year,Statistics,4.69,Less than 1 hour,Rarely,1–2 days,Yes,Sometimes,Above 85%,Rarely,Never,5–6 hours,Once a week,Moderate,Always,More than 6 hours,Instagram,Sometimes,Often,Other AI Tools,Peer Influence,Very Low,Yes,Average,Attendance,More revision
18,Female,4th Year,Mathematics,5.06,2–4 hours,Always,3–7 days,Yes,Sometimes,50–70%,Rarely,Always,6–7 hours,Once a week,Very High,Never,More than 6 hours,Other,Rarely,Sometimes,YouTube,Peer Influence,High,Yes,Good,Attendance,Less distraction
20,Other,4th Year,Computer Science,6.59,More than 4 hours,Never,More than a week,No,Usually,50–70%,Never,Always,6–7 hours,4–5 times a week,Moderate,Sometimes,4–6 hours,LinkedIn,Never,Never,ChatGPT,Career Opportunities,Very Low,No,Very Poor,Social media,Better planning
18,Other,2nd Year,Mathematics,7.09,Less than 1 hour,Sometimes,1–2 days,Yes,Usually,Above 85%,Rarely,Often,5–6 hours,Once a week,Very High,Always,2–4 hours,Instagram,Rarely,Never,Udemy,Other,High,No,Very Poor,Motivation,More sleep
21,Male,1st Year,Economics,4.68,1–2 hours,Never,Same day,Yes,Sometimes,50–70%,Always,Never,5–6 hours,Once a week,Low,Rarely,More than 6 hours,Other,Rarely,Often,Other AI Tools,Family Influence,High,Yes,Very Poor,Attendance,Less distraction
18,Male,2nd Year,Computer Science,6.94,More than 4 hours,Rarely,Same day,No,Never,70–85%,Never,Always,Less than 5 hours,4–5 times a week,Very Low,Sometimes,2–4 hours,Instagram,Never,Rarely,Other AI Tools,Personal Interest,Moderate,No,Good,Time management,Less distraction
21,Male,2nd Year,Computer Science,7.94,2–4 hours,Sometimes,More than a week,No,Rarely,70–85%,Never,Never,6–7 hours,Daily,Low,Rarely,Less than 1 hour,Instagram,Rarely,Sometimes,Other AI Tools,Career Opportunities,High,Yes,Poor,Attendance,Less distraction
21,Other,3rd Year,Statistics,6.65,2–4 hours,Sometimes,3–7 days,No,Sometimes,Below 50%,Always,Rarely,More than 8 hours,2–3 times a week,Very High,Never,2–4 hours,Facebook,Often,Rarely,Coursera,Personal Interest,High,No,Average,Stress,Regular attendance
22,Other,2nd Year,Economics,4.41,1–2 hours,Never,More than a week,Yes,Sometimes,50–70%,Never,Always,Less than 5 hours,2–3 times a week,Low,Always,More than 6 hours,Instagram,Rarely,Sometimes,ChatGPT,Family Influence,Moderate,Yes,Average,Sleep,More sleep
21,Female,1st Year,Computer Science,6.79,1–2 hours,Never,More than a week,Yes,Sometimes,70–85%,Rarely,Rarely,7–8 hours,2–3 times a week,High,Always,2–4 hours,X/Twitter,Always,Sometimes,ChatGPT,Career Opportunities,Very High,Yes,Excellent,Sleep,More sleep
20,Male,2nd Year,Computer Science,7.55,1–2 hours,Often,Same day,Yes,Usually,Above 85%,Sometimes,Often,5–6 hours,2–3 times a week,Very Low,Always,2–4 hours,YouTube,Sometimes,Never,Other AI Tools,Other,Low,Yes,Excellent,Attendance,More sleep
19,Female,3rd Year,Computer Science,7.31,Less than 1 hour,Often,3–7 days,Yes,Rarely,Above 85%,Rarely,Rarely,6–7 hours,2–3 times a week,Very Low,Often,Less than 1 hour,YouTube,Never,Sometimes,Other AI Tools,Other,Very Low,No,Excellent,Attendance,More sleep
18,Other,2nd Year,Economics,8.67,2–4 hours,Often,Same day,Yes,Always,Above 85%,Sometimes,Rarely,7–8 hours,Daily,Very High,Always,4–6 hours,YouTube,Always,Rarely,Udemy,Other,Low,Yes,Poor,Time management,More revision
18,Female,1st Year,Data Science,6.09,1–2 hours,Often,3–7 days,Yes,Rarely,50–70%,Sometimes,Rarely,5–6 hours,Daily,Moderate,Never,Less than 1 hour,LinkedIn,Rarely,Very Frequently,ChatGPT,Personal Interest,Moderate,No,Poor,Sleep,Regular attendance
20,Male,2nd Year,Computer Science,5.79,1–2 hours,Never,3–7 days,Yes,Always,50–70%,Always,Sometimes,6–7 hours,Never,Very High,Never,Less than 1 hour,LinkedIn,Sometimes,Often,Other,Peer Influence,Low,No,Good,Social media,Better planning
19,Other,3rd Year,Statistics,4,1–2 hours,Never,3–7 days,Yes,Always,Below 50%,Sometimes,Sometimes,5–6 hours,2–3 times a week,Low,Often,More than 6 hours,YouTube,Rarely,Often,ChatGPT,Peer Influence,Low,Yes,Average,Attendance,Less distraction
19,Male,3rd Year,Economics,6.53,1–2 hours,Sometimes,3–7 days,No,Rarely,50–70%,Often,Sometimes,Less than 5 hours,Daily,Low,Sometimes,Less than 1 hour,Facebook,Sometimes,Often,ChatGPT,Career Opportunities,Moderate,No,Good,Social media,Less distraction
19,Male,2nd Year,Economics,6.46,Less than 1 hour,Often,1–2 days,Yes,Rarely,70–85%,Rarely,Always,More than 8 hours,Daily,Very High,Often,4–6 hours,Facebook,Always,Very Frequently,Coursera,Other,Very High,Yes,Poor,Attendance,Better planning
19,Other,4th Year,Computer Science,5.91,Less than 1 hour,Never,More than a week,Yes,Sometimes,Above 85%,Always,Often,7–8 hours,2–3 times a week,High,Never,More than 6 hours,X/Twitter,Always,Very Frequently,Other AI Tools,Career Opportunities,Moderate,Yes,Average,Social media,Better planning
22,Male,3rd Year,Mathematics,7.11,More than 4 hours,Sometimes,Same day,Yes,Sometimes,50–70%,Rarely,Rarely,7–8 hours,4–5 times a week,Very Low,Sometimes,2–4 hours,Other,Rarely,Often,YouTube,Personal Interest,High,Yes,Average,Social media,Better planning
20,Female,4th Year,Computer Science,7.43,More than 4 hours,Always,More than a week,Yes,Sometimes,Below 50%,Rarely,Always,More than 8 hours,Once a week,High,Rarely,Less than 1 hour,Facebook,Always,Very Frequently,Udemy,Peer Influence,High,Yes,Good,Time management,More revision
22,Other,3rd Year,Economics,6.15,1–2 hours,Always,3–7 days,Yes,Sometimes,70–85%,Sometimes,Always,5–6 hours,4–5 times a week,Low,Always,Less than 1 hour,Instagram,Always,Very Frequently,YouTube,Family Influence,Very Low,Yes,Excellent,Attendance,More revision
19,Other,2nd Year,Computer Science,6.75,More than 4 hours,Never,More than a week,No,Rarely,50–70%,Rarely,Sometimes,6–7 hours,Once a week,Low,Never,1–2 hours,X/Twitter,Rarely,Never,YouTube,Family Influence,Very Low,Yes,Excellent,Social media,Less distraction
21,Male,2nd Year,Computer Science,8.52,2–4 hours,Always,Same day,Yes,Always,Above 85%,Rarely,Sometimes,More than 8 hours,2–3 times a week,Very High,Never,2–4 hours,Other,Always,Often,ChatGPT,Other,Moderate,No,Good,Social media,Less distraction
22,Other,1st Year,Mathematics,7.9,2–4 hours,Often,1–2 days,Yes,Usually,Above 85%,Never,Often,5–6 hours,Daily,High,Always,Less than 1 hour,X/Twitter,Sometimes,Very Frequently,YouTube,Family Influence,Low,No,Poor,Social media,More revision
19,Female,2nd Year,Statistics,5.8,1–2 hours,Sometimes,Same day,No,Sometimes,50–70%,Never,Sometimes,5–6 hours,Once a week,High,Often,1–2 hours,Instagram,Often,Often,Other AI Tools,Personal Interest,Low,Yes,Excellent,Time management,Better planning
22,Female,1st Year,Mathematics,7.62,2–4 hours,Often,3–7 days,Yes,Sometimes,70–85%,Often,Sometimes,More than 8 hours,Once a week,Low,Never,1–2 hours,Facebook,Sometimes,Often,Other AI Tools,Family Influence,Moderate,No,Excellent,Attendance,Less distraction
